Title,TeacherName,Description,Degree,Co-researchers
Xây dựng công cụ kiểm thử lỗ hổng dựa trên Metasploit Framework,Bùi Trọng Tùng,"Yêu cầu chung • Sinh viên có khả năng lập trình với ngôn ngữ Ruby, có kiến thức về lỗ hổng và khai thác lỗ hổng ATBM • Lý thuyết: - Tìm hiểu về công cụ Metasploit Framework • Thực hành: Viết công cụ kiểm thử lỗ hổng cho các máy trạm trong mạng","CNTH, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, KSCLC, CN, HEDSPI",
Xây dựng ứng dụng quản lý mật khẩu cho người dùng,Bùi Trọng Tùng,Yêu cầu chung: - Sinh viên có kiến thức cơ bản về mật mã - Ứng dụng có các tính năng cơ bản: 1. Tạo mật khẩu tùy ý theo lựa chọn của người dùng 2. Lưu trữ mật khẩu an toàn 3. Tương tác với trình duyệt Web 4. Đồng bộ dữ liệu,"CNTH, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, CN, HEDSPI",
Đề tài do sinh viên đề xuất,Bùi Trọng Tùng,Sinh viên cần liên hệ với giáo viên để trao đổi thông tin chi tiết trước khi đăng ký (tungbt@soict.hust.edu.vn),"CNKT, CN",
Đề tài Phân tuyến và giám sát xe đưa đón học sinh VinSchool,Hoàng Văn Hiệp,"Mình đang cần 2 bạn làm đề tài phân tuyến giám sát xe đưa đón học sinh VinSchool Đây là bài toán thật làm với Vinschool (một trong những tập đoàn yêu cầu cao nhất VN bây giờ), sẽ go live vào tầm giữa tháng 4 sang năm (phù hợp với thời gian hoàn thành đồ án của sinh viên). Mô tả sơ bộ: hệ thống sẽ gồm 3 phân hệ: website quản trị, app-driver, app-parent (1) website phân tuyến/giám sát trạng thái xe có các chức năng sau: + Phân tuyến tự động cho các xe: xe nào đi qua những điểm đón nào, đón học sinh nào (phần core thuật toán đã có --> chủ yếu là thiết kế giao diện và kết nối API) + Điều chỉnh phân tuyến thủ công + Hiển thị trạng thái tức thời của xe, tuyến trên bản đồ số của Google + Cho phép xem lại lịch sử của xe/tuyến trên bản đồ số của Google + Hiển thị các thông tin cảnh báo (nếu có) + Báo cáo thống kê (2) app-driver: + Thu thập dữ liệu cảm biến: vị trí, vận tốc, học sinh trên xe... gửi về server + Hiển thị thông tin tuyến đang được phân công + Hiện thị vị trí tức thời của xe trên bản đồ số + Hiển thị danh sách học sinh cần đón/trả tại các điểm đón: thực hiện thao tác điểm danh + Gửi/nhận các thông báo tới/từ hệ thống (3) app-parent: + Đăng ký điểm đón HS + Hiện thị vị trí tức thời của xe đang đưa/đón con mình + Xem lại lịch sử di chuyển xe đưa đón con mình + Gửi thông báo: nghỉ học, bị ốm, ... + Nhận thông tin cảnh báo từ server","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Phân lớp các bộ phá sóng GPS,Hoàng Văn Hiệp,"Áp dụng các kỹ thuật xử lý tín hiệu số để làm bài toán: phát hiện, phân loại các thiết bị phá sóng GPS trên thị trường. Hiện nay, rất nhiều lái xe kinh doanh vận tải có xu hướng sử dụng các bộ phá sóng GPS để vô hiệu hóa hộp đen lắp đặt trên xe (hộp đen là bắt buộc với xe kinh doanh vận tải) ==> nhà quản lý không có dữ liệu định vị của xe dẫn đến không thể áp dụng các chế tài ==> Cần có phương pháp phát hiện nhanh tài xế có dùng bộ phá sóng hay không",ThSKH,
Hệ thống giám sát xe chuyên dùng của ngân hàng (Xe chở tiền),Hoàng Văn Hiệp,"Các ngân hàng ở VN có lượng lưu chuyển tiền mặt hàng ngày rất lớn: chuyển tiền từ kho/quỹ đến các phòng giao dịch, hoặc đến các cây ATM. Để vận chuyển tiền, ngân hàng dùng các xe chở tiền chuyên dụng, trên xe có các thành viên tổ điều chuyển bao gồm: lái xe, chủ hàng, kỹ thuật viên ATM, và công an. Nhu cầu đặt ra là cần giám sát hoạt động của các xe chở tiền này --> Hệ thống giám sát bao gồm thiết bị phần cứng lắp trên xe và hệ thống phần mềm trên server.",KSCQ,
Thiết kế và phát triển platform nhúng Android,Lã Thế Vinh,"Trong kỷ nguyên IoT một hệ thống nhúng với khả năng tính toán tốt và tính tiện dụng trong lập trình các ứng dụng trên đó là một thành phần vô cùng quan trọng. Do đó từ K57 các nhóm sv đã thiết kế thành công hệ nhúng chạy HĐH Android với các ngoại vi phong phú từ GPIO cho phép lập trình giao tiếp mức thấp đến các ngoại vi đòi hỏi driver mức nhân HĐH như Touch Display. Nhiệm vụ tiếp theo là kế thừa và tiếp tục nâng cấp platform này sử dụng các phiên bản mới nhất của CHIPSET để mở rộng các giao tiếp như: Ethernet, USB 3.0...Trên cơ sở đó rất nhiều ứng dụng hữu ích sẽ được phát triển như: theo dõi, giám sát (qua camera), streaming, AI (nhận dạng qua ảnh...)...","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Phối hợp thị giác máy tính để hỗ trợ hệ thống định vị dẫn đường dùng vệ tinh,Lã Thế Vinh,"Sử dụng các phương pháp thị giác máy tính để trích trọn các đặc trưng chuyển động từ camera (sự thay đổi góc hướng, tốc độ) sau đó tích hợp các thông tin này vào trong lọc Kalman của phương trình tọa độ từ dữ liệu vệ tinh định vị. Sự kết hợp này sẽ cải thiện kết quả định vị. Hệ thống kết hợp này có tính khả thi cao đặc biệt cho các phương tiện ô-tô cá nhân khi mà camera và thiết bị định vị đều đã có sẵn. Sự kết hợp của camera-gnss sẽ tạo ra hệ thống định vị có tính chính xác và ổn định hơn đặc biệt khi di chuyển vào khu vực nhiều tòa nhà, công trình chắn sóng từ vệ tinh định vị.","ThSKH, KSCQ, KSTN, CTTT, HEDSPI",
Hệ thống quản lý vào ra tại các khu đô thị thấp tầng,Lã Thế Vinh,"Thực trạng quản lý khách vào ra tại các khu đô thị thấp tầng (Vinhomes Thăng Long, Vinhomes Riverside, Gamuda Gardens...) hiện tại: 1. Khách đến 2. Bảo vệ gọi chủ nhà để xác nhận 3. Sau khi chủ nhà xác nhận thì khách / shipper được vào 4. Khách hay chủ nhà khi ra vào cổng thì về nguyên tắc vẫn phải mang theo thẻ cư dân Mô hình này có mấy bất cập: 1. Không phải lúc nào cũng mang theo thẻ cư dân (đi dạo, đi mua đồ lặt vặt...) thì hoặc phải nói khó bảo vệ hoặc bảo vệ phải nhớ mặt (rất khó). Mà nếu bảo vệ làm việc cảm tính kiểu đó thì dẫn đến mất an toàn khi người lạ lọt được vào. 2. Chủ nhà phải nghe điện thoại khi có người đến nhà (điều này cũng khá phiền phức đặc biệt những người bận rộn có nhiều cuộc điện thoại công việc) 3. Khi con cháu đặt grab/bee thì bố mẹ cũng phải nghe máy để cho grab/bee vào đón Đề xuất mô hình quản lý thông qua chữ ký số và QR: 1. Xây dựng máy chủ web quản lý thông tin cư dân với các vai trò khác nhau (chủ nhà, người trong nhà, trẻ con) 2. Hệ thống web quản lý cư dân theo từng địa chỉ nhà, mỗi người dùng khi đăng ký sẽ được tạo tài khoản riêng (gắn kèm một chứng thư số do hệ thống sinh ra) 3. Việc tạo tài khoản do người của ban quản lý làm (phân hệ quản trị) 4. Mỗi người dân sẽ tải app trên phone (Android/iPhone) và đăng nhập bằng tài khoản của mình 5. Khi vào ra cổng, mỗi người dân mang theo điện thoại thì chỉ cần hiện màn hình QR code (sinh tức thời và có tác dụng ngắn hạn) quét qua đầu đọc, đầu đọc sẽ hiện ra thông tin của cư dân (tên, số nhà...) và được vào. 6. Khi có khách đến, người mời khách (bố, mẹ, con...) dùng app tạo một QR code có tác dụng 1 lần, gửi ảnh cho khách (QR sẽ kèm thông tin: Họ tên khách, đến nhà nào, việc gì). Khi khách đến chỉ cần quẹt QR này qua máy đọc + xem CCCD (để xác thực họ tên nếu cần). Khi khách về cũng quẹt QR này để ra về. Thông tin trong QR được mã hóa bởi chữ ký số của người tạo QR. Do đó không có khả năng làm giả QR. Hệ thống đề xuất giải quyết được việc ra vào các khu đô thị thấp tầng (toàn dân giàu) một cách thuận lợi, an toàn và văn minh. Cần bạn nào có tinh thần phát triển sản phẩm một cách nghiêm túc, chỉ chu vì nhu cầu là có thật. Bạn nào có định hướng phát triển và thương mại hóa Thầy rất welcome.",,
Lập trình ứng dụng di động,Lê Bá Vui,"Android, Windows Phone, iOS",,
Xây dựng ứng dụng điều khiển đa năng,Lê Bá Vui,"Xây dựng ứng dụng có thể học các lệnh từ điểu khiển hồng ngoại và điều khiển các thiết bị gia dụng như TV, quạt, điều hòa, ... Nhiệm vụ của đề tài: + Thiết kế phần cứng để học và phát các tín hiệu hồng ngoại, có kết nối wifi để giao tiếp với ứng dụng di động + Lập trình ứng dụng di động để điều khiển thiết bị phần cứng, tạo các kịch bản tự động + Tích hợp điều khiển bằng giọng nói sử dụng dịch vụ Amazon Alexa hoặc Google Assistant",,
Phát hiện và phòng chống tấn công mạng,Lê Xuân Thành,"Nghiên cứu các kỹ thuật phát hiện và phòng chống tấn công, phòng chống xâm nhập hệ thống mạng","ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
"Nhận diện mã độc bằng các kỹ thuật tiên tiến (học máy, mạng nơ-ron, AI...)",Lê Xuân Thành,Nghiên cứu các kỹ thuật nhận dạng mã độc trên máy tính và các thiết bị thông minh,"ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
An toàn và bảo mật thông tin,Lê Xuân Thành,,"ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Nhận dạng cảm xúc tiếng nói bằng phương pháp học sâu,Lê Xuân Thành,"Sử dụng bộ ngữ liệu tiếng nói có cảm xúc IEMOCAP Xây dựng các giải pháp nhận dạng cảm xúc được thể hiện trong bộ cảm xúc này bằng phương pháp học sâu SV thích machine learning, AI, lập trình được Python","ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Tổng hợp và nhận dạng tiếng nói bằng học sâu,Lê Xuân Thành,,"ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
"Phát triển hệ phần cứng đo thông số pin, ắc quy, kết nối với thiết bị android, iOS qua bluetooth kết hợp với xây dựng app quản lý, khai thác các thông tin đó trên 2 nền tảng này",Lê Xuân Thành,,"ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Bio-Information,Lê Xuân Thành,,"ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Dự đoán và phân loại tương tác thuốc - Cell line áp dụng mô hình graph convolution network,Lê Xuân Thành,"Dựng lại model, sử dụng bộ dữ liệu sẵn có, hiệu chỉnh model để kết quả tốt hơn SV thích machine learning, AI, lập trình được Python","ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
"Dự đoán tương tác thuốc - Cell line trên mô hình CNN, DNN",Lê Xuân Thành,"Dựng lại model, sử dụng bộ dữ liệu sẵn có, hiệu chỉnh model để kết quả tốt hơn SV thích machine learning, AI, lập trình được Python","ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Mô hình dự đoán tương tác thuốc - cell line sử dụng metapath2vec,Lê Xuân Thành,"Dựng lại model, sử dụng bộ dữ liệu sẵn có, hiệu chỉnh model để kết quả tốt hơn SV thích machine learning, AI, lập trình được Python","ThSKH, CNTH, IPE, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, CNKH, Viet-Phap, LATS, KSCLC, CN, ThSKT, VLVH, HEDSPI",
Phát triển phần mềm phân tích xét nghiệm NIPT 3,Nguyễn Hồng Quang,NIPT là xét nghiệm ADN trong máu thai phụ để chuẩn đoán đột biến ở con. Đề tài này nhằm mục đích xây dựng phương pháp học máy dựa trên công nghệ học sâu để phân tích xét nghiệm NIPT3. Nghiên cứu này hợp tác với Đại học Y Hà Nội.,,
Xây dựng mô hình Deep Neural Network phát hiện đột biến gen của bệnh nhân ung thư.,Nguyễn Hồng Quang,Các bệnh ung thư chủ yếu do sự đột biến của các gen trong tế bào. Vì vậy xác định được các đột biến trên các gen là một yếu tố quan trọng các bác sỹ đưa ra liệu pháp và thuốc điều trị. Nghiên cứu này hợp tác với Đại học Y Hà Nội. Nghiên cứu này hợp tác với Đại học Y Hà Nội.,,
Xây dựng mô hình Deep Neural Network xác định thuốc điều trị đích cho bệnh nhân ung thư,Nguyễn Hồng Quang,Hiện nay các bài báo công bố các kết quả nghiên cứu về căn bệnh ung thư đang được xuất bản ngày càng rộng rãi. Đề tài này xây dựng mô hình Deep Neural Network xác định thuốc điều trị đích cho bệnh nhân ung thư từ phương pháp xử lý văn bản trên các bài báo này.,,
Phát triển phần mềm phân tích xét nghiệm NIPT bệnh tan máu thalassemia.,Nguyễn Hồng Quang,Bệnh tan máu thalassemia là một bệnh có tỷ lệ nhất định trong cộng đồng. Đề tài này nhằm mục đích xây dựng phương pháp học máy dựa trên công nghệ học sâu để phân tích xét nghiệm NIPT để xác định khả năng bị bệnh tan máu thalassemia. Nghiên cứu này hợp tác với Đại học Y Hà Nội.,,
Phát hiện bệnh tim bẩm sinh bẩm sinh từ tín hiệu điện tâm đồ,Nguyễn Hồng Quang,"Các bệnh tim bẩm sinh ảnh hưởng đến khoảng 1% trẻ sơ sinh, là yếu tố gây bệnh tật và tử vong quan trọng đối với một số tình trạng bệnh nặng, bao gồm cả suy tim tiến triển. Trong một cuộc khảo sát năm 2019, người ta ước tính rằng bệnh tim bẩm sinh ảnh hưởng đến hơn 500.000 trẻ em ở Đông Phi, và cứ 1000 trẻ sinh sống thì có khoảng 8 trẻ. Các bệnh tim mắc phải bao gồm sốt thấp khớp và bệnh Kawasaki, trước đây là một vấn đề sức khỏe cộng đồng nghiêm trọng ở các vùng đang phát triển, ví dụ, vùng nông thôn Brazil. Một số vùng của các nước đang phát triển gặp khó khăn trong việc chẩn đoán và điều trị các bệnh tim bẩm sinh và mắc phải ở trẻ em. Điều này chủ yếu là do thiếu cơ sở hạ tầng và các bác sĩ chuyên khoa tim mạch ở những khu vực địa lý rộng lớn và khó tiếp cận với các dịch vụ y tế. Ngoài ra, đại dịch COVID-19 hiện nay gây ra những khó khăn mới trong việc đánh giá lâm sàng bệnh nhân bằng cách trì hoãn các cuộc tiếp xúc trực tiếp giữa bệnh nhân với bác sĩ, tác động tiêu cực đến các hoạt động sàng lọc và giám sát. Một đánh giá không xâm lấn về chức năng cơ học của tim, được thực hiện tại các cơ sở chăm sóc, có thể cung cấp thông tin sớm về các bệnh tim bẩm sinh và mắc phải ở trẻ em. Việc thiếu các chẩn đoán sớm đối với những tình trạng này là một vấn đề lớn đối với sức khỏe cộng đồng, đặc biệt là ở các nước yếu kém với tỷ lệ sinh cao. Đặc biệt, nghe tim thai và phân tích điện tâm đồ (PCG) có thể tiết lộ thông tin lâm sàng cơ bản liên quan đến tình trạng suy tim do bệnh tim bẩm sinh và mắc phải ở trẻ em. Điều này đạt được bằng cách phát hiện các sóng âm thanh bất thường trong tín hiệu PCG. Mục đích của đề tài: xây dựng hệ thống AI để phát hiện bệnh tim bẩm sinh từ tín hiệu điện tâm đồ. Nghiên cứu này được thực hiện hợp tác với nhóm nghiên cứu của Victoria University of Wellington.",,Công ty Cổ phần Công nghệ và Giải pháp Y tế
"Dự đoán tình trạng bệnh của bệnh nhân như dự đoán tiểu đường, đột quỵ, suy thận từ bản ghi EHR",Nguyễn Hồng Quang,"Dựa trên các bản ghi điện tử về của bệnh nhân, từ đó dự đoán tình trạng bệnh của bệnh nhân như dự đoán tiểu đường, đột quỵ, suy thận, ... Nghiên cứu này được thực hiện hợp tác với nhóm nghiên cứu của Victoria University of Wellington.",,
Phân tích dữ liệu đa phương thức trong tế bào,Nguyễn Hồng Quang,"Nhiệm vụ 1: Dự đoán phương thức. Dự đoán dòng thông tin từ DNA đến RNA và RNA đến protein. Các kỹ thuật thực nghiệm để đo nhiều phương thức trong cùng một tế bào đơn lẻ đang ngày càng trở nên phổ biến. Nhu cầu về các phép đo này được thúc đẩy bởi lời hứa cung cấp cái nhìn sâu sắc hơn về trạng thái của tế bào. Nhiệm vụ 2: Đối sánh phương thức. Đối sánh cấu hình của mỗi tế bào từ các phương thức khác nhau. Mặc dù hiện có thể lập hồ sơ chung của hai phương thức trong cùng một tế bào đơn lẻ, nhưng hầu hết các bộ dữ liệu đơn tế bào tồn tại chỉ đo lường một phương thức duy nhất. Nhiệm vụ 3: Kết hợp đa thể thức Học cách kết hơp từ nhiều phương thức thực nghiệm. Hoạt động của các cơ quan, mô và toàn bộ sinh vật được xác định bởi sự tác động lẫn nhau của các tế bào. Tế bào được đặc trưng thành các loại rộng, do đó có thể có các trạng thái khác nhau. Nghiên cứu này được thực hiện hợp tác với nhóm nghiên cứu của Victoria University of Wellington.",,
Phát triển phần mềm phân tích giữa đột biến gen và chỉ định phẫu thuật tiền liệt tuyến.,Nguyễn Hồng Quang,Bệnh ung thư tiền liệt tuyến là một bệnh có tỷ lệ cao. Đề tài này nhằm mục đích phát triển phần mềm phân tích giữa đột biến gen và chỉ định phẫu thuật tiền liệt tuyến. Nghiên cứu này hợp tác với Đại học Y Hà Nội.,,
Phát hiện tấn công mạng bằng phát hiện bất thường dựa trên phân tích dữ liệu,Nguyễn Linh Giang,"Mục tiêu: sử dụng các phương pháp học máy (machine learning) trong phát hiện bất thường trong dữ liệu mạng. Nội dung: - Nghiên cứu, thử nghiệm các phương pháp học máy; - Nghiên cứu, thử nghiệm các phương pháp phân tích dữ liệu, trích chọn đặc trưng của tấn công mạng dựa vào phân tích dữ liệu, các phương pháp học sâu; - Phát triển thử nghiệm hệ thống phát hiện tấn công mạng. Tập trung vào phát hiện Botnet, phát hiện tấn công DDoS, phát hiện tấn công vào hệ thống web. Ngôn ngữ lập trình: Python, C, C++, Java, PHP",,
Xây dựng thử nghiệm phần mềm xác định các tham số phế dung trên thiết bị di động,Nguyễn Linh Giang,Mục tiêu: Xây dựng phần mềm trên điện thoại di động xác định các tham số phổi dựa trên phân tích tín hiệu thu nhận được từ hệ thống micro. Nội dung - Thực hiện phân tích dữ liệu tiếng nói thu nhận khi thổi vào micro của điện thoại; - Tiền xử lý và phân tích dữ liệu bằng các phương pháp học máy; - Truyền dữ liệu lên hệ thống OM2M; - TIếp quản các nội dung do các nhóm sinh viên trước đã thực hiện. - Lập trình trên Android.,"ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, HEDSPI",
Phương pháp học tăng cường và áp dụng giải quyết các bài toán trong lĩnh vực mạng truyền thông và an toàn thông tin,Nguyễn Linh Giang,"Mục tiêu: Nghiên cứu tìm hiểu phương pháp học máy, học tăng cường. Áp dụng vào giải quyết các bài toán tối ưu, những bài toán quyết định có tính Markov. Nội dung: - Nghiên cứu các phương pháp học máy; - Nghiên cứu các quá trình quyết định Markov, phương pháp học tăng cường, và xấp xỉ ngẫu nhiên; - Áp dụng giải quyết các bài toán quyết định trong lĩnh vực mạng truyền thông và an toàn thông tin như giải quyết các bài toán tối ưu trong mạng, phát hiện tấn công mạng qua quan sát hành vi, ... - Lập trình: python, C, ...","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, LATS, KSCLC, CN, ThSKT, HEDSPI",
Phát hiện và xử lý tấn công từ chối dịch vụ,Nguyễn Linh Giang,"Mục tiêu: Tìm, phát hiện, theo dõi tác nhân gây ra tấn công từ chối dịch vụ DDoS bằng phương pháp học máy và phân tích dữ liệu. Nội dung: - Nghiên cứu, thử nghiệm các phương pháp học máy, trích chọn đặc trưng; - Nghiên cứu các phương pháp học sâu, - Phân tích đặc trưng của các dạng tấn công qua Botnet theo các các luồng dữ liệu mạng - Nghiên cứu và phân tích đặc điểm của các dạng Botnet DGA - NGhiên cứu các giải pháp giảm thiểu ảnh hưởng tấn công qua Botnet - Phát triển hệ thống phát hiện Botnet và giảm ảnh hưởng của Botnet Ngôn ngữ lập trình: Python, C, C++, Java, ...","ThSKH, VB2, CNKT, KSCQ, SIE, KSTN, CTTT, KSCLC, CN, ThSKT, HEDSPI",
"Bảo mật dữ liệu cho giao tiếp device to device, IoT",Nguyễn Linh Giang,"Mục tiêu: tìm hiểu, nghiên cứu và phát triển các phương pháp bảo vệ dữ liệu cho giao tiếp M2M. Nội dung: - NGhiên cứu, tìm hiểu, thử nghiệm các phương pháp đảm bảo kết nối an toàn trong giao tiếp M2M trong các hệ thống IoT. - Nghiên cứu các phương pháp cấp phát chứng thư số, mã hoá nhẹ trong môi trường tính toán giới hạn. - Phát triển thử nghiệm hệ thống cấp phát chứng thư số và sử dụng ký số, bảo mật dựa trên các thuật toán mã hoá hạng nhẹ;","ThSKH, KSCQ, SIE, KSTN, CTTT, KSCLC, ThSKT, HEDSPI",
